First check if the text file has already been converted to binary format (3.7 seconds)
Binary file found. Skip converting text to binary
First check if the text file has already been converted to binary format (0.9 seconds)
Binary file found. Skip converting text to binary
iter   tr_logloss   va_logloss      tr_time
   1      0.18090      0.17709        293.7
   2      0.17567      0.17538        588.4
   3      0.17418      0.17449        879.0
   4      0.17321      0.17404       1163.9
   5      0.17247      0.17362       1453.7
   6      0.17188      0.17336       1746.5
   7      0.17138      0.17308       2033.9
   8      0.17093      0.17293       2322.8
   9      0.17052      0.17278       2611.9
  10      0.17014      0.17263       2872.3
  11      0.16980      0.17260       3124.3
  12      0.16947      0.17246       3375.7
  13      0.16914      0.17238       3625.7
  14      0.16884      0.17232       3876.8
  15      0.16855      0.17227       4127.6
  16      0.16825      0.17227       4378.4
  17      0.16798      0.17215       4629.0
  18      0.16771      0.17214       4910.5
  19      0.16743      0.17207       5195.4
  20      0.16718      0.17206       5483.0
  21      0.16692      0.17202       5772.4
  22      0.16665      0.17201       6056.8
  23      0.16641      0.17201       6340.5
  24      0.16616      0.17197       6623.9
  25      0.16591      0.17205       6907.0
