auc,init_stdev,l2_reg,l2_reg_V,l2_reg_w,n_iter,random_state,rank,step_size
0.575582,0.0029826,,0.0001077,0.000252,5273,123,65,0.0243545
0.575254,0.0027574,,0.0064562,0.0001809,5122,123,82,0.0369541
0.57504,0.0239629,,2.44e-05,0.0001764,5116,123,6,0.0240336
0.574551,0.0012557,,0.0095848,5.69e-05,3161,123,88,0.1169764
0.574506,0.0016083,,0.0036776,1.07e-05,3161,123,106,0.1213635
0.574368,0.0686512,,0.0001345,0.003538,3431,123,244,0.0191377
0.573357,0.001256,,1.53e-05,0.0017143,3179,123,60,0.0908092
0.572518,0.005848,,0.0001185,3.21e-05,3435,123,114,0.084093
0.572446,0.0049422,,0.0006047,0.0004583,9985,123,29,0.024248
0.572429,0.0385174,,3.24e-05,0.0019364,9990,123,16,0.0146605
0.572324,0.0102052,,2.5e-05,0.0507963,3859,123,1,0.0271828
0.572279,0.0048028,,0.0031661,2.53e-05,3849,123,163,0.0356282
0.572235,0.0082946,,0.0018148,8.6e-05,4926,123,37,0.0238492
0.57223,0.0491769,,0.000111,0.0279413,9971,123,23,0.0124061
0.57188,0.0694078,,0.0009356,0.0149057,5067,123,13,0.0220705
0.57172,0.0023789,,4.92e-05,2.38e-05,2222,123,117,0.1158338
0.571644,0.0039659,,5.71e-05,1.03e-05,5234,123,50,0.0508657
0.571629,0.0010102,,0.0026776,5.29e-05,3404,123,121,0.067357
0.571607,0.0307683,,4.11e-05,0.0006891,9963,123,22,0.0142366
0.571554,0.0092648,,9.93e-05,1.04e-05,3119,123,235,0.0642073
0.571455,0.0010051,,2.25e-05,1.4e-05,4827,123,62,0.0450604
0.571442,0.0197075,,60.1361058,0.0406032,5348,123,5,0.0149102
0.571388,0.0028389,,7.63e-05,4.88e-05,3534,123,83,0.0318095
0.571383,0.0038214,,0.0001456,3.44e-05,4977,123,150,0.0264324
0.5713,0.0020137,,0.054245,0.0005849,2163,123,281,0.1092953
0.571266,0.007536,,1.48e-05,6.2e-05,5035,123,141,0.0544905
0.571188,0.0390795,,77.6420917,0.0029988,3874,123,11,0.0253685
0.57117,0.0478869,,0.0084219,0.0102156,8222,123,18,0.0254983
0.571109,0.003168,,0.0002822,2.67e-05,7974,123,199,0.0601584
0.570943,0.0041898,,0.0013165,0.0002966,3564,123,63,0.0301112
0.570826,0.0193417,,1.01e-05,0.011283,8151,123,38,0.0193296
0.570772,0.0011128,,0.0942442,8.93e-05,5473,123,61,0.0203377
0.570761,0.0014761,,0.0085339,8.53e-05,2141,123,113,0.1093186
0.570733,0.0629681,,7.06e-05,0.0043919,5221,123,19,0.0256915
0.570619,0.0043736,,0.0015538,7.74e-05,3134,123,178,0.0590264
0.570584,0.0010119,,0.0797795,0.0001108,3326,123,115,0.1097701
0.570535,0.0015424,,0.0113528,7.11e-05,3136,123,81,0.089882
0.570518,0.0333676,,0.0002847,0.0002098,9924,123,41,0.0192734
0.570437,0.0038854,,0.0073055,0.0001496,2116,123,88,0.0572558
0.570386,0.0534987,,0.0080893,0.0268711,3988,123,28,0.0267543
0.570313,0.0261741,,58.2065648,0.0122872,3167,123,20,0.0248715
0.570256,0.0093868,,8.08e-05,1.02e-05,7631,123,171,0.0193593
0.570239,0.0616457,,0.0027499,0.0093006,9991,123,15,0.0242042
0.57011,0.0022224,,9.94e-05,2.51e-05,3426,123,68,0.1197039
0.570085,0.001816,,0.0009395,0.0004994,3265,123,67,0.052247
0.569996,0.0010038,,0.0003856,0.0003691,2139,123,96,0.1692369
0.569839,0.0540048,,3.66e-05,0.0004119,5488,123,16,0.0128922
0.569768,0.0020249,,0.0504617,0.0001875,3142,123,344,0.090645
0.569753,0.0356101,,0.0024223,0.0305648,5489,123,17,0.0113586
0.569751,0.0072708,,1.02e-05,1.54e-05,3807,123,71,0.0288238
0.569709,0.003286,,0.0098943,1.1e-05,4537,123,234,0.0362181
0.569688,0.0190956,,0.0002319,0.0080708,9863,123,24,0.0130008
0.569663,0.0757986,,0.0001255,0.0020595,9977,123,10,0.0158893
0.569661,0.0516685,,0.0012582,0.0077943,8144,123,19,0.0178953
0.569645,0.003847,,2.93e-05,0.0002818,8165,123,114,0.0294152
0.569644,0.0213684,,0.0001807,9.46e-05,9964,123,12,0.0136153
0.569616,0.0455291,,0.0010792,0.0713443,3406,123,7,0.0175784
0.569608,0.0182853,,1.13e-05,3.05e-05,4832,123,4,0.0210891
0.569509,0.0058259,,0.0009368,0.0008293,5161,123,58,0.0729659
0.569402,0.0226635,,19.4745446,0.1087936,3971,123,4,0.0121439
0.56928,0.03668,,38.8261823,0.0686895,3667,123,12,0.0236065
0.569263,0.0539711,,7.15e-05,0.0178767,5260,123,21,0.0128745
