[1]	train's auc: 0.702302	train's online_auc: 0.700284	valid's auc: 0.699138	valid's online_auc: 0.698175
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.714534	train's online_auc: 0.712605	valid's auc: 0.711118	valid's online_auc: 0.710127
[3]	train's auc: 0.718374	train's online_auc: 0.71623	valid's auc: 0.714986	valid's online_auc: 0.714076
[4]	train's auc: 0.721249	train's online_auc: 0.718872	valid's auc: 0.717959	valid's online_auc: 0.71695
[5]	train's auc: 0.723473	train's online_auc: 0.720745	valid's auc: 0.720148	valid's online_auc: 0.719142
[6]	train's auc: 0.724244	train's online_auc: 0.721508	valid's auc: 0.721071	valid's online_auc: 0.720062
[7]	train's auc: 0.725026	train's online_auc: 0.722313	valid's auc: 0.721622	valid's online_auc: 0.72064
[8]	train's auc: 0.726011	train's online_auc: 0.722955	valid's auc: 0.722423	valid's online_auc: 0.720877
[9]	train's auc: 0.726713	train's online_auc: 0.723544	valid's auc: 0.723132	valid's online_auc: 0.721539
[10]	train's auc: 0.727368	train's online_auc: 0.723965	valid's auc: 0.72371	valid's online_auc: 0.721826
[11]	train's auc: 0.727521	train's online_auc: 0.723944	valid's auc: 0.723795	valid's online_auc: 0.721766
[12]	train's auc: 0.728393	train's online_auc: 0.725085	valid's auc: 0.72482	valid's online_auc: 0.722933
[13]	train's auc: 0.728619	train's online_auc: 0.72498	valid's auc: 0.724966	valid's online_auc: 0.722846
[14]	train's auc: 0.729058	train's online_auc: 0.725321	valid's auc: 0.725457	valid's online_auc: 0.72299
[15]	train's auc: 0.729425	train's online_auc: 0.725199	valid's auc: 0.72563	valid's online_auc: 0.722762
[16]	train's auc: 0.729974	train's online_auc: 0.725768	valid's auc: 0.726148	valid's online_auc: 0.723217
[17]	train's auc: 0.730633	train's online_auc: 0.726369	valid's auc: 0.726737	valid's online_auc: 0.723745
[18]	train's auc: 0.731245	train's online_auc: 0.727075	valid's auc: 0.727394	valid's online_auc: 0.72445
[19]	train's auc: 0.731844	train's online_auc: 0.727468	valid's auc: 0.72784	valid's online_auc: 0.724671
[20]	train's auc: 0.732292	train's online_auc: 0.72796	valid's auc: 0.728223	valid's online_auc: 0.725006
[21]	train's auc: 0.732988	train's online_auc: 0.728683	valid's auc: 0.728843	valid's online_auc: 0.725756
[22]	train's auc: 0.733368	train's online_auc: 0.729054	valid's auc: 0.729209	valid's online_auc: 0.726102
[23]	train's auc: 0.733879	train's online_auc: 0.729532	valid's auc: 0.729663	valid's online_auc: 0.72649
[24]	train's auc: 0.734397	train's online_auc: 0.730011	valid's auc: 0.730026	valid's online_auc: 0.726828
[25]	train's auc: 0.734921	train's online_auc: 0.730568	valid's auc: 0.730375	valid's online_auc: 0.727222
[26]	train's auc: 0.735455	train's online_auc: 0.731166	valid's auc: 0.7308	valid's online_auc: 0.727748
[27]	train's auc: 0.73598	train's online_auc: 0.731603	valid's auc: 0.731228	valid's online_auc: 0.728113
[28]	train's auc: 0.736417	train's online_auc: 0.731971	valid's auc: 0.731608	valid's online_auc: 0.728349
[29]	train's auc: 0.736858	train's online_auc: 0.732261	valid's auc: 0.731895	valid's online_auc: 0.728446
[30]	train's auc: 0.737365	train's online_auc: 0.732695	valid's auc: 0.732314	valid's online_auc: 0.728769
[31]	train's auc: 0.737836	train's online_auc: 0.733188	valid's auc: 0.732688	valid's online_auc: 0.729098
[32]	train's auc: 0.738192	train's online_auc: 0.733632	valid's auc: 0.732911	valid's online_auc: 0.729347
[33]	train's auc: 0.738582	train's online_auc: 0.734008	valid's auc: 0.733206	valid's online_auc: 0.729551
[34]	train's auc: 0.739068	train's online_auc: 0.734548	valid's auc: 0.733595	valid's online_auc: 0.730024
[35]	train's auc: 0.739437	train's online_auc: 0.735013	valid's auc: 0.733816	valid's online_auc: 0.730252
[36]	train's auc: 0.739844	train's online_auc: 0.735347	valid's auc: 0.734096	valid's online_auc: 0.730447
[37]	train's auc: 0.740135	train's online_auc: 0.735668	valid's auc: 0.734252	valid's online_auc: 0.730674
[38]	train's auc: 0.740541	train's online_auc: 0.736047	valid's auc: 0.734546	valid's online_auc: 0.73098
[39]	train's auc: 0.740833	train's online_auc: 0.736357	valid's auc: 0.734749	valid's online_auc: 0.731287
[40]	train's auc: 0.741105	train's online_auc: 0.736685	valid's auc: 0.734935	valid's online_auc: 0.731392
[41]	train's auc: 0.741431	train's online_auc: 0.736978	valid's auc: 0.735207	valid's online_auc: 0.731728
[42]	train's auc: 0.741682	train's online_auc: 0.737276	valid's auc: 0.735409	valid's online_auc: 0.731934
[43]	train's auc: 0.741978	train's online_auc: 0.737616	valid's auc: 0.735565	valid's online_auc: 0.732026
[44]	train's auc: 0.742244	train's online_auc: 0.73796	valid's auc: 0.735773	valid's online_auc: 0.732266
[45]	train's auc: 0.742497	train's online_auc: 0.738362	valid's auc: 0.735891	valid's online_auc: 0.732432
[46]	train's auc: 0.742709	train's online_auc: 0.738553	valid's auc: 0.736008	valid's online_auc: 0.732526
[47]	train's auc: 0.742932	train's online_auc: 0.738682	valid's auc: 0.73621	valid's online_auc: 0.732659
[48]	train's auc: 0.743284	train's online_auc: 0.739018	valid's auc: 0.736469	valid's online_auc: 0.73295
[49]	train's auc: 0.743479	train's online_auc: 0.739144	valid's auc: 0.736629	valid's online_auc: 0.733012
[50]	train's auc: 0.743752	train's online_auc: 0.739388	valid's auc: 0.73682	valid's online_auc: 0.733224
[51]	train's auc: 0.743902	train's online_auc: 0.739568	valid's auc: 0.736926	valid's online_auc: 0.733298
[52]	train's auc: 0.744058	train's online_auc: 0.739847	valid's auc: 0.737013	valid's online_auc: 0.73334
[53]	train's auc: 0.744244	train's online_auc: 0.740062	valid's auc: 0.737088	valid's online_auc: 0.73338
[54]	train's auc: 0.744424	train's online_auc: 0.740363	valid's auc: 0.737171	valid's online_auc: 0.733545
[55]	train's auc: 0.744531	train's online_auc: 0.740435	valid's auc: 0.737225	valid's online_auc: 0.733575
[56]	train's auc: 0.744731	train's online_auc: 0.740716	valid's auc: 0.73736	valid's online_auc: 0.733691
[57]	train's auc: 0.744928	train's online_auc: 0.740914	valid's auc: 0.73747	valid's online_auc: 0.733733
[58]	train's auc: 0.745165	train's online_auc: 0.741283	valid's auc: 0.737602	valid's online_auc: 0.733912
[59]	train's auc: 0.745273	train's online_auc: 0.741422	valid's auc: 0.73768	valid's online_auc: 0.733961
[60]	train's auc: 0.745434	train's online_auc: 0.741532	valid's auc: 0.737773	valid's online_auc: 0.734013
[61]	train's auc: 0.745534	train's online_auc: 0.741693	valid's auc: 0.737816	valid's online_auc: 0.734047
[62]	train's auc: 0.745709	train's online_auc: 0.74188	valid's auc: 0.737928	valid's online_auc: 0.734128
[63]	train's auc: 0.745825	train's online_auc: 0.742049	valid's auc: 0.737983	valid's online_auc: 0.734185
[64]	train's auc: 0.745985	train's online_auc: 0.742203	valid's auc: 0.738004	valid's online_auc: 0.734178
[65]	train's auc: 0.746206	train's online_auc: 0.742523	valid's auc: 0.738135	valid's online_auc: 0.734383
[66]	train's auc: 0.746347	train's online_auc: 0.742678	valid's auc: 0.738226	valid's online_auc: 0.734478
[67]	train's auc: 0.746466	train's online_auc: 0.742792	valid's auc: 0.738296	valid's online_auc: 0.734539
[68]	train's auc: 0.746691	train's online_auc: 0.743044	valid's auc: 0.73843	valid's online_auc: 0.734697
[69]	train's auc: 0.746819	train's online_auc: 0.743223	valid's auc: 0.738474	valid's online_auc: 0.734723
[70]	train's auc: 0.746966	train's online_auc: 0.743317	valid's auc: 0.738532	valid's online_auc: 0.734738
[71]	train's auc: 0.747092	train's online_auc: 0.743448	valid's auc: 0.738639	valid's online_auc: 0.734857
[72]	train's auc: 0.747174	train's online_auc: 0.743554	valid's auc: 0.738683	valid's online_auc: 0.734906
[73]	train's auc: 0.747285	train's online_auc: 0.743635	valid's auc: 0.738748	valid's online_auc: 0.73492
[74]	train's auc: 0.747355	train's online_auc: 0.743702	valid's auc: 0.738783	valid's online_auc: 0.734939
[75]	train's auc: 0.747526	train's online_auc: 0.743872	valid's auc: 0.738908	valid's online_auc: 0.73501
[76]	train's auc: 0.74771	train's online_auc: 0.744078	valid's auc: 0.73901	valid's online_auc: 0.735154
[77]	train's auc: 0.747839	train's online_auc: 0.744258	valid's auc: 0.739077	valid's online_auc: 0.735211
[78]	train's auc: 0.747948	train's online_auc: 0.744378	valid's auc: 0.739146	valid's online_auc: 0.735232
[79]	train's auc: 0.748041	train's online_auc: 0.744495	valid's auc: 0.739182	valid's online_auc: 0.735232
[80]	train's auc: 0.748173	train's online_auc: 0.744644	valid's auc: 0.739249	valid's online_auc: 0.735296
[81]	train's auc: 0.748361	train's online_auc: 0.744839	valid's auc: 0.739374	valid's online_auc: 0.735349
[82]	train's auc: 0.74848	train's online_auc: 0.744965	valid's auc: 0.739403	valid's online_auc: 0.73535
[83]	train's auc: 0.748647	train's online_auc: 0.745262	valid's auc: 0.739439	valid's online_auc: 0.735356
[84]	train's auc: 0.748726	train's online_auc: 0.745341	valid's auc: 0.739491	valid's online_auc: 0.735379
[85]	train's auc: 0.748855	train's online_auc: 0.7455	valid's auc: 0.739547	valid's online_auc: 0.735419
[86]	train's auc: 0.748948	train's online_auc: 0.745539	valid's auc: 0.739577	valid's online_auc: 0.73541
[87]	train's auc: 0.749104	train's online_auc: 0.745759	valid's auc: 0.739663	valid's online_auc: 0.735531
[88]	train's auc: 0.749239	train's online_auc: 0.745913	valid's auc: 0.739777	valid's online_auc: 0.735658
[89]	train's auc: 0.749288	train's online_auc: 0.745978	valid's auc: 0.739795	valid's online_auc: 0.735662
[90]	train's auc: 0.749394	train's online_auc: 0.74608	valid's auc: 0.739819	valid's online_auc: 0.735669
[91]	train's auc: 0.749598	train's online_auc: 0.746293	valid's auc: 0.739922	valid's online_auc: 0.735779
[92]	train's auc: 0.749683	train's online_auc: 0.746379	valid's auc: 0.739943	valid's online_auc: 0.735814
[93]	train's auc: 0.749761	train's online_auc: 0.746461	valid's auc: 0.739964	valid's online_auc: 0.735836
[94]	train's auc: 0.749851	train's online_auc: 0.746591	valid's auc: 0.739984	valid's online_auc: 0.735848
[95]	train's auc: 0.749959	train's online_auc: 0.746769	valid's auc: 0.740022	valid's online_auc: 0.735931
[96]	train's auc: 0.750061	train's online_auc: 0.746941	valid's auc: 0.740079	valid's online_auc: 0.736011
[97]	train's auc: 0.750164	train's online_auc: 0.747061	valid's auc: 0.740109	valid's online_auc: 0.736046
[98]	train's auc: 0.750248	train's online_auc: 0.747307	valid's auc: 0.740111	valid's online_auc: 0.73604
[99]	train's auc: 0.75033	train's online_auc: 0.747489	valid's auc: 0.740138	valid's online_auc: 0.736079
[100]	train's auc: 0.750377	train's online_auc: 0.747532	valid's auc: 0.740159	valid's online_auc: 0.736078
[101]	train's auc: 0.750524	train's online_auc: 0.74774	valid's auc: 0.740253	valid's online_auc: 0.736175
[102]	train's auc: 0.750598	train's online_auc: 0.747821	valid's auc: 0.740259	valid's online_auc: 0.736191
[103]	train's auc: 0.750713	train's online_auc: 0.748041	valid's auc: 0.740334	valid's online_auc: 0.736282
[104]	train's auc: 0.750804	train's online_auc: 0.748126	valid's auc: 0.740333	valid's online_auc: 0.736293
[105]	train's auc: 0.750862	train's online_auc: 0.748172	valid's auc: 0.740356	valid's online_auc: 0.736303
[106]	train's auc: 0.750943	train's online_auc: 0.748301	valid's auc: 0.740385	valid's online_auc: 0.736308
[107]	train's auc: 0.751027	train's online_auc: 0.74847	valid's auc: 0.74042	valid's online_auc: 0.736332
[108]	train's auc: 0.751114	train's online_auc: 0.748556	valid's auc: 0.740422	valid's online_auc: 0.73634
[109]	train's auc: 0.751257	train's online_auc: 0.748763	valid's auc: 0.740433	valid's online_auc: 0.736317
[110]	train's auc: 0.751349	train's online_auc: 0.74885	valid's auc: 0.740457	valid's online_auc: 0.736356
[111]	train's auc: 0.751414	train's online_auc: 0.748946	valid's auc: 0.740474	valid's online_auc: 0.736382
[112]	train's auc: 0.751478	train's online_auc: 0.749001	valid's auc: 0.740514	valid's online_auc: 0.736416
[113]	train's auc: 0.7516	train's online_auc: 0.749134	valid's auc: 0.740566	valid's online_auc: 0.736443
[114]	train's auc: 0.751662	train's online_auc: 0.749182	valid's auc: 0.740592	valid's online_auc: 0.736441
[115]	train's auc: 0.751708	train's online_auc: 0.74923	valid's auc: 0.740604	valid's online_auc: 0.736444
[116]	train's auc: 0.751788	train's online_auc: 0.749279	valid's auc: 0.74063	valid's online_auc: 0.736437
[117]	train's auc: 0.751832	train's online_auc: 0.749324	valid's auc: 0.740648	valid's online_auc: 0.736447
[118]	train's auc: 0.751908	train's online_auc: 0.749471	valid's auc: 0.740686	valid's online_auc: 0.736475
[119]	train's auc: 0.751984	train's online_auc: 0.749557	valid's auc: 0.740739	valid's online_auc: 0.736522
[120]	train's auc: 0.752154	train's online_auc: 0.749709	valid's auc: 0.740794	valid's online_auc: 0.736582
[121]	train's auc: 0.752242	train's online_auc: 0.749786	valid's auc: 0.740849	valid's online_auc: 0.736642
[122]	train's auc: 0.752363	train's online_auc: 0.750042	valid's auc: 0.740881	valid's online_auc: 0.73671
[123]	train's auc: 0.752484	train's online_auc: 0.750191	valid's auc: 0.740931	valid's online_auc: 0.736714
[124]	train's auc: 0.752655	train's online_auc: 0.750384	valid's auc: 0.741037	valid's online_auc: 0.736814
[125]	train's auc: 0.752723	train's online_auc: 0.750423	valid's auc: 0.741032	valid's online_auc: 0.736806
[126]	train's auc: 0.75277	train's online_auc: 0.750457	valid's auc: 0.741037	valid's online_auc: 0.736801
[127]	train's auc: 0.752842	train's online_auc: 0.75061	valid's auc: 0.741052	valid's online_auc: 0.736816
[128]	train's auc: 0.752983	train's online_auc: 0.750739	valid's auc: 0.741111	valid's online_auc: 0.736896
[129]	train's auc: 0.753059	train's online_auc: 0.750837	valid's auc: 0.741128	valid's online_auc: 0.736904
[130]	train's auc: 0.753128	train's online_auc: 0.750899	valid's auc: 0.741155	valid's online_auc: 0.736918
[131]	train's auc: 0.753233	train's online_auc: 0.750973	valid's auc: 0.741205	valid's online_auc: 0.736937
[132]	train's auc: 0.753302	train's online_auc: 0.751117	valid's auc: 0.741243	valid's online_auc: 0.73699
[133]	train's auc: 0.753346	train's online_auc: 0.751147	valid's auc: 0.74124	valid's online_auc: 0.736999
[134]	train's auc: 0.753427	train's online_auc: 0.751287	valid's auc: 0.741263	valid's online_auc: 0.736994
[135]	train's auc: 0.753501	train's online_auc: 0.751319	valid's auc: 0.74129	valid's online_auc: 0.737014
[136]	train's auc: 0.753567	train's online_auc: 0.751363	valid's auc: 0.741303	valid's online_auc: 0.737027
[137]	train's auc: 0.753617	train's online_auc: 0.751407	valid's auc: 0.741315	valid's online_auc: 0.737033
[138]	train's auc: 0.753682	train's online_auc: 0.751466	valid's auc: 0.741341	valid's online_auc: 0.737066
[139]	train's auc: 0.753745	train's online_auc: 0.751584	valid's auc: 0.741374	valid's online_auc: 0.73711
[140]	train's auc: 0.753833	train's online_auc: 0.751652	valid's auc: 0.741384	valid's online_auc: 0.73712
[141]	train's auc: 0.753904	train's online_auc: 0.751842	valid's auc: 0.741398	valid's online_auc: 0.737174
[142]	train's auc: 0.754043	train's online_auc: 0.752055	valid's auc: 0.741506	valid's online_auc: 0.737335
[143]	train's auc: 0.754126	train's online_auc: 0.752138	valid's auc: 0.741528	valid's online_auc: 0.737357
[144]	train's auc: 0.754176	train's online_auc: 0.752209	valid's auc: 0.74155	valid's online_auc: 0.737364
[145]	train's auc: 0.754281	train's online_auc: 0.752325	valid's auc: 0.741559	valid's online_auc: 0.737345
[146]	train's auc: 0.754384	train's online_auc: 0.752418	valid's auc: 0.741554	valid's online_auc: 0.737332
[147]	train's auc: 0.754452	train's online_auc: 0.752513	valid's auc: 0.741552	valid's online_auc: 0.737339
[148]	train's auc: 0.754499	train's online_auc: 0.752581	valid's auc: 0.741542	valid's online_auc: 0.737333
[149]	train's auc: 0.754577	train's online_auc: 0.752675	valid's auc: 0.741531	valid's online_auc: 0.737313
[150]	train's auc: 0.754643	train's online_auc: 0.752731	valid's auc: 0.741535	valid's online_auc: 0.737313
[151]	train's auc: 0.754741	train's online_auc: 0.75284	valid's auc: 0.741571	valid's online_auc: 0.737346
[152]	train's auc: 0.754827	train's online_auc: 0.752917	valid's auc: 0.741581	valid's online_auc: 0.737373
[153]	train's auc: 0.754861	train's online_auc: 0.752969	valid's auc: 0.74159	valid's online_auc: 0.737372
[154]	train's auc: 0.754982	train's online_auc: 0.753228	valid's auc: 0.741614	valid's online_auc: 0.737418
[155]	train's auc: 0.755033	train's online_auc: 0.753415	valid's auc: 0.741601	valid's online_auc: 0.737379
[156]	train's auc: 0.755113	train's online_auc: 0.753519	valid's auc: 0.741617	valid's online_auc: 0.737372
[157]	train's auc: 0.755188	train's online_auc: 0.753716	valid's auc: 0.741607	valid's online_auc: 0.73732
[158]	train's auc: 0.755254	train's online_auc: 0.753769	valid's auc: 0.741613	valid's online_auc: 0.737327
[159]	train's auc: 0.755301	train's online_auc: 0.753815	valid's auc: 0.741629	valid's online_auc: 0.737343
[160]	train's auc: 0.755351	train's online_auc: 0.753853	valid's auc: 0.74162	valid's online_auc: 0.737335
[161]	train's auc: 0.7554	train's online_auc: 0.753988	valid's auc: 0.741618	valid's online_auc: 0.737333
[162]	train's auc: 0.755452	train's online_auc: 0.754043	valid's auc: 0.741613	valid's online_auc: 0.737337
[163]	train's auc: 0.755482	train's online_auc: 0.754089	valid's auc: 0.741626	valid's online_auc: 0.73734
[164]	train's auc: 0.755624	train's online_auc: 0.754267	valid's auc: 0.741665	valid's online_auc: 0.737393
[165]	train's auc: 0.755694	train's online_auc: 0.754291	valid's auc: 0.74168	valid's online_auc: 0.737394
[166]	train's auc: 0.755835	train's online_auc: 0.75443	valid's auc: 0.74178	valid's online_auc: 0.737413
[167]	train's auc: 0.755891	train's online_auc: 0.754481	valid's auc: 0.741801	valid's online_auc: 0.737437
