[1]	train's auc: 0.654215	valid1's auc: 0.652693
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.671872	valid1's auc: 0.670321
[3]	train's auc: 0.677278	valid1's auc: 0.676076
[4]	train's auc: 0.679101	valid1's auc: 0.677795
[5]	train's auc: 0.680855	valid1's auc: 0.679557
[6]	train's auc: 0.681079	valid1's auc: 0.679659
[7]	train's auc: 0.681271	valid1's auc: 0.679729
[8]	train's auc: 0.681211	valid1's auc: 0.679711
[9]	train's auc: 0.681966	valid1's auc: 0.680463
[10]	train's auc: 0.682398	valid1's auc: 0.680991
[11]	train's auc: 0.683326	valid1's auc: 0.68181
[12]	train's auc: 0.685141	valid1's auc: 0.683478
[13]	train's auc: 0.686632	valid1's auc: 0.684822
[14]	train's auc: 0.688212	valid1's auc: 0.686109
[15]	train's auc: 0.690094	valid1's auc: 0.688147
[16]	train's auc: 0.690947	valid1's auc: 0.688852
[17]	train's auc: 0.692854	valid1's auc: 0.690502
[18]	train's auc: 0.694678	valid1's auc: 0.692233
[19]	train's auc: 0.696398	valid1's auc: 0.693892
[20]	train's auc: 0.697955	valid1's auc: 0.695257
[21]	train's auc: 0.699972	valid1's auc: 0.697166
[22]	train's auc: 0.701419	valid1's auc: 0.698446
[23]	train's auc: 0.703139	valid1's auc: 0.699896
[24]	train's auc: 0.704899	valid1's auc: 0.701502
[25]	train's auc: 0.70622	valid1's auc: 0.702702
[26]	train's auc: 0.707387	valid1's auc: 0.70379
[27]	train's auc: 0.708982	valid1's auc: 0.70524
[28]	train's auc: 0.710536	valid1's auc: 0.706531
[29]	train's auc: 0.711826	valid1's auc: 0.707751
[30]	train's auc: 0.71286	valid1's auc: 0.708579
[31]	train's auc: 0.714141	valid1's auc: 0.709792
[32]	train's auc: 0.715025	valid1's auc: 0.710422
[33]	train's auc: 0.715824	valid1's auc: 0.711027
[34]	train's auc: 0.716784	valid1's auc: 0.711827
[35]	train's auc: 0.717574	valid1's auc: 0.712498
[36]	train's auc: 0.71843	valid1's auc: 0.713106
[37]	train's auc: 0.719036	valid1's auc: 0.713552
[38]	train's auc: 0.719757	valid1's auc: 0.71409
[39]	train's auc: 0.720607	valid1's auc: 0.71477
[40]	train's auc: 0.721363	valid1's auc: 0.715304
