[1]	train's auc: 0.592705	valid1's auc: 0.59128
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.610867	valid1's auc: 0.608702
[3]	train's auc: 0.615385	valid1's auc: 0.61349
[4]	train's auc: 0.617841	valid1's auc: 0.616072
[5]	train's auc: 0.621377	valid1's auc: 0.619639
[6]	train's auc: 0.622418	valid1's auc: 0.620945
[7]	train's auc: 0.625125	valid1's auc: 0.623167
[8]	train's auc: 0.625661	valid1's auc: 0.623523
[9]	train's auc: 0.628131	valid1's auc: 0.62584
[10]	train's auc: 0.628148	valid1's auc: 0.625675
[11]	train's auc: 0.628886	valid1's auc: 0.626201
[12]	train's auc: 0.630577	valid1's auc: 0.627747
[13]	train's auc: 0.631199	valid1's auc: 0.628244
[14]	train's auc: 0.632174	valid1's auc: 0.629157
[15]	train's auc: 0.633981	valid1's auc: 0.630827
[16]	train's auc: 0.636021	valid1's auc: 0.632786
[17]	train's auc: 0.637838	valid1's auc: 0.634173
[18]	train's auc: 0.639067	valid1's auc: 0.635148
[19]	train's auc: 0.640554	valid1's auc: 0.636452
[20]	train's auc: 0.64188	valid1's auc: 0.637447
[21]	train's auc: 0.643618	valid1's auc: 0.638914
[22]	train's auc: 0.64472	valid1's auc: 0.639575
[23]	train's auc: 0.646493	valid1's auc: 0.641317
[24]	train's auc: 0.647823	valid1's auc: 0.642316
[25]	train's auc: 0.648899	valid1's auc: 0.64312
[26]	train's auc: 0.650023	valid1's auc: 0.643883
[27]	train's auc: 0.651872	valid1's auc: 0.645311
[28]	train's auc: 0.653092	valid1's auc: 0.646249
[29]	train's auc: 0.654654	valid1's auc: 0.647271
[30]	train's auc: 0.655808	valid1's auc: 0.647998
[31]	train's auc: 0.65697	valid1's auc: 0.648829
[32]	train's auc: 0.658248	valid1's auc: 0.649695
[33]	train's auc: 0.659219	valid1's auc: 0.650433
[34]	train's auc: 0.660575	valid1's auc: 0.651271
[35]	train's auc: 0.661615	valid1's auc: 0.651827
[36]	train's auc: 0.663044	valid1's auc: 0.652779
[37]	train's auc: 0.664106	valid1's auc: 0.65305
[38]	train's auc: 0.664663	valid1's auc: 0.653343
[39]	train's auc: 0.665888	valid1's auc: 0.654033
[40]	train's auc: 0.666692	valid1's auc: 0.654349
[41]	train's auc: 0.667388	valid1's auc: 0.654695
[42]	train's auc: 0.668303	valid1's auc: 0.654869
[43]	train's auc: 0.668973	valid1's auc: 0.655156
[44]	train's auc: 0.670034	valid1's auc: 0.655685
[45]	train's auc: 0.670643	valid1's auc: 0.655827
[46]	train's auc: 0.671416	valid1's auc: 0.656004
[47]	train's auc: 0.672913	valid1's auc: 0.656929
[48]	train's auc: 0.673777	valid1's auc: 0.657297
[49]	train's auc: 0.674576	valid1's auc: 0.657666
[50]	train's auc: 0.675318	valid1's auc: 0.657995
[51]	train's auc: 0.676434	valid1's auc: 0.658462
[52]	train's auc: 0.676989	valid1's auc: 0.658664
[53]	train's auc: 0.677662	valid1's auc: 0.658852
[54]	train's auc: 0.678671	valid1's auc: 0.659133
[55]	train's auc: 0.679558	valid1's auc: 0.659198
[56]	train's auc: 0.68008	valid1's auc: 0.659349
[57]	train's auc: 0.680828	valid1's auc: 0.659534
[58]	train's auc: 0.681401	valid1's auc: 0.659733
[59]	train's auc: 0.681983	valid1's auc: 0.659811
[60]	train's auc: 0.68266	valid1's auc: 0.659887
[61]	train's auc: 0.683406	valid1's auc: 0.65994
[62]	train's auc: 0.684327	valid1's auc: 0.660156
[63]	train's auc: 0.685027	valid1's auc: 0.660233
[64]	train's auc: 0.685445	valid1's auc: 0.660285
[65]	train's auc: 0.685968	valid1's auc: 0.660379
[66]	train's auc: 0.686712	valid1's auc: 0.660468
[67]	train's auc: 0.687449	valid1's auc: 0.660479
[68]	train's auc: 0.687896	valid1's auc: 0.660521
[69]	train's auc: 0.688324	valid1's auc: 0.660619
[70]	train's auc: 0.689113	valid1's auc: 0.660728
[71]	train's auc: 0.689746	valid1's auc: 0.660789
[72]	train's auc: 0.690284	valid1's auc: 0.660794
[73]	train's auc: 0.690689	valid1's auc: 0.660895
[74]	train's auc: 0.691317	valid1's auc: 0.661022
[75]	train's auc: 0.691921	valid1's auc: 0.661037
[76]	train's auc: 0.692501	valid1's auc: 0.66102
[77]	train's auc: 0.693018	valid1's auc: 0.661061
[78]	train's auc: 0.693427	valid1's auc: 0.661096
[79]	train's auc: 0.694037	valid1's auc: 0.661089
[80]	train's auc: 0.694534	valid1's auc: 0.66109
[81]	train's auc: 0.69494	valid1's auc: 0.661193
[82]	train's auc: 0.695459	valid1's auc: 0.661253
[83]	train's auc: 0.695951	valid1's auc: 0.661277
[84]	train's auc: 0.696696	valid1's auc: 0.661347
[85]	train's auc: 0.697229	valid1's auc: 0.661336
[86]	train's auc: 0.697713	valid1's auc: 0.661314
[87]	train's auc: 0.698285	valid1's auc: 0.661302
[88]	train's auc: 0.698679	valid1's auc: 0.661324
[89]	train's auc: 0.699044	valid1's auc: 0.661369
[90]	train's auc: 0.699502	valid1's auc: 0.661364
[91]	train's auc: 0.700075	valid1's auc: 0.661355
[92]	train's auc: 0.700477	valid1's auc: 0.661397
[93]	train's auc: 0.701031	valid1's auc: 0.66136
[94]	train's auc: 0.701346	valid1's auc: 0.66141
[95]	train's auc: 0.701898	valid1's auc: 0.661454
[96]	train's auc: 0.702271	valid1's auc: 0.661481
[97]	train's auc: 0.702631	valid1's auc: 0.661553
[98]	train's auc: 0.703058	valid1's auc: 0.661562
[99]	train's auc: 0.703677	valid1's auc: 0.661651
[100]	train's auc: 0.704147	valid1's auc: 0.661653
[101]	train's auc: 0.704569	valid1's auc: 0.661653
[102]	train's auc: 0.705133	valid1's auc: 0.66175
[103]	train's auc: 0.705661	valid1's auc: 0.661788
[104]	train's auc: 0.706168	valid1's auc: 0.661764
[105]	train's auc: 0.706685	valid1's auc: 0.661848
[106]	train's auc: 0.70712	valid1's auc: 0.661832
[107]	train's auc: 0.70744	valid1's auc: 0.661887
[108]	train's auc: 0.707879	valid1's auc: 0.661857
[109]	train's auc: 0.708306	valid1's auc: 0.661969
[110]	train's auc: 0.708696	valid1's auc: 0.661942
[111]	train's auc: 0.708897	valid1's auc: 0.661931
[112]	train's auc: 0.709355	valid1's auc: 0.661924
[113]	train's auc: 0.709656	valid1's auc: 0.661949
[114]	train's auc: 0.709892	valid1's auc: 0.661954
[115]	train's auc: 0.710317	valid1's auc: 0.661932
[116]	train's auc: 0.710642	valid1's auc: 0.661971
[117]	train's auc: 0.711067	valid1's auc: 0.661949
[118]	train's auc: 0.711577	valid1's auc: 0.661988
[119]	train's auc: 0.712049	valid1's auc: 0.661961
[120]	train's auc: 0.712434	valid1's auc: 0.661968
[121]	train's auc: 0.712823	valid1's auc: 0.662066
[122]	train's auc: 0.713263	valid1's auc: 0.662077
[123]	train's auc: 0.71383	valid1's auc: 0.662082
[124]	train's auc: 0.714375	valid1's auc: 0.662129
[125]	train's auc: 0.714766	valid1's auc: 0.662115
[126]	train's auc: 0.715214	valid1's auc: 0.662075
[127]	train's auc: 0.715659	valid1's auc: 0.66205
[128]	train's auc: 0.715826	valid1's auc: 0.662073
[129]	train's auc: 0.716363	valid1's auc: 0.662128
[130]	train's auc: 0.716594	valid1's auc: 0.662112
[131]	train's auc: 0.716985	valid1's auc: 0.662142
[132]	train's auc: 0.717403	valid1's auc: 0.662228
[133]	train's auc: 0.717516	valid1's auc: 0.662242
[134]	train's auc: 0.718051	valid1's auc: 0.662303
[135]	train's auc: 0.718313	valid1's auc: 0.662296
[136]	train's auc: 0.718762	valid1's auc: 0.662255
[137]	train's auc: 0.719232	valid1's auc: 0.662354
[138]	train's auc: 0.71948	valid1's auc: 0.662396
[139]	train's auc: 0.720079	valid1's auc: 0.662401
[140]	train's auc: 0.720431	valid1's auc: 0.662404
[141]	train's auc: 0.72079	valid1's auc: 0.662399
