[1]	train's auc: 0.747163	valid1's auc: 0.746946
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.771477	valid1's auc: 0.77067
[3]	train's auc: 0.776898	valid1's auc: 0.776269
[4]	train's auc: 0.777183	valid1's auc: 0.776386
[5]	train's auc: 0.780176	valid1's auc: 0.779198
[6]	train's auc: 0.783265	valid1's auc: 0.782198
[7]	train's auc: 0.784815	valid1's auc: 0.783655
[8]	train's auc: 0.785862	valid1's auc: 0.784649
[9]	train's auc: 0.786953	valid1's auc: 0.785452
[10]	train's auc: 0.787504	valid1's auc: 0.785911
[11]	train's auc: 0.789003	valid1's auc: 0.787248
[12]	train's auc: 0.790434	valid1's auc: 0.788695
[13]	train's auc: 0.790866	valid1's auc: 0.788962
[14]	train's auc: 0.792389	valid1's auc: 0.790394
[15]	train's auc: 0.79335	valid1's auc: 0.791182
[16]	train's auc: 0.794714	valid1's auc: 0.792499
[17]	train's auc: 0.795689	valid1's auc: 0.793259
[18]	train's auc: 0.797172	valid1's auc: 0.794663
[19]	train's auc: 0.798006	valid1's auc: 0.795251
[20]	train's auc: 0.799321	valid1's auc: 0.796449
[21]	train's auc: 0.800916	valid1's auc: 0.797801
[22]	train's auc: 0.802088	valid1's auc: 0.798749
[23]	train's auc: 0.803275	valid1's auc: 0.799599
[24]	train's auc: 0.804479	valid1's auc: 0.800566
[25]	train's auc: 0.805318	valid1's auc: 0.801075
[26]	train's auc: 0.80672	valid1's auc: 0.802165
[27]	train's auc: 0.807967	valid1's auc: 0.802993
[28]	train's auc: 0.808877	valid1's auc: 0.803448
[29]	train's auc: 0.809874	valid1's auc: 0.803953
[30]	train's auc: 0.811288	valid1's auc: 0.805007
[31]	train's auc: 0.812479	valid1's auc: 0.805687
[32]	train's auc: 0.813542	valid1's auc: 0.806365
[33]	train's auc: 0.814799	valid1's auc: 0.807405
[34]	train's auc: 0.816002	valid1's auc: 0.808221
[35]	train's auc: 0.817009	valid1's auc: 0.80869
[36]	train's auc: 0.817974	valid1's auc: 0.809439
[37]	train's auc: 0.818973	valid1's auc: 0.809997
[38]	train's auc: 0.819946	valid1's auc: 0.81031
[39]	train's auc: 0.820937	valid1's auc: 0.811025
[40]	train's auc: 0.821653	valid1's auc: 0.811413
[41]	train's auc: 0.822431	valid1's auc: 0.811764
[42]	train's auc: 0.82316	valid1's auc: 0.812204
[43]	train's auc: 0.824026	valid1's auc: 0.812647
[44]	train's auc: 0.82468	valid1's auc: 0.812928
[45]	train's auc: 0.825437	valid1's auc: 0.813282
[46]	train's auc: 0.826199	valid1's auc: 0.813504
[47]	train's auc: 0.826943	valid1's auc: 0.814029
[48]	train's auc: 0.827591	valid1's auc: 0.814241
[49]	train's auc: 0.828236	valid1's auc: 0.814476
[50]	train's auc: 0.828701	valid1's auc: 0.814721
[51]	train's auc: 0.829415	valid1's auc: 0.814923
[52]	train's auc: 0.829877	valid1's auc: 0.815186
[53]	train's auc: 0.83042	valid1's auc: 0.815397
[54]	train's auc: 0.831012	valid1's auc: 0.815686
[55]	train's auc: 0.831673	valid1's auc: 0.816094
[56]	train's auc: 0.83232	valid1's auc: 0.816314
[57]	train's auc: 0.83298	valid1's auc: 0.816457
[58]	train's auc: 0.833345	valid1's auc: 0.816665
[59]	train's auc: 0.833869	valid1's auc: 0.816902
[60]	train's auc: 0.834513	valid1's auc: 0.817142
[61]	train's auc: 0.835115	valid1's auc: 0.817295
[62]	train's auc: 0.835483	valid1's auc: 0.817469
[63]	train's auc: 0.835989	valid1's auc: 0.81756
[64]	train's auc: 0.836597	valid1's auc: 0.81762
[65]	train's auc: 0.837116	valid1's auc: 0.817766
[66]	train's auc: 0.837576	valid1's auc: 0.81788
[67]	train's auc: 0.83805	valid1's auc: 0.817956
[68]	train's auc: 0.838376	valid1's auc: 0.818099
[69]	train's auc: 0.838828	valid1's auc: 0.818153
[70]	train's auc: 0.839313	valid1's auc: 0.818329
[71]	train's auc: 0.839688	valid1's auc: 0.81847
