[1]	train's auc: 0.627667	train's online_auc: 0.649963	valid1's auc: 0.626556	valid1's online_auc: 0.647148
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.632736	train's online_auc: 0.656434	valid1's auc: 0.631918	valid1's online_auc: 0.65369
[3]	train's auc: 0.636853	train's online_auc: 0.660506	valid1's auc: 0.635662	valid1's online_auc: 0.657957
[4]	train's auc: 0.637009	train's online_auc: 0.660582	valid1's auc: 0.635594	valid1's online_auc: 0.65765
[5]	train's auc: 0.638223	train's online_auc: 0.661375	valid1's auc: 0.636831	valid1's online_auc: 0.65858
[6]	train's auc: 0.639596	train's online_auc: 0.663167	valid1's auc: 0.638121	valid1's online_auc: 0.660672
[7]	train's auc: 0.641027	train's online_auc: 0.665574	valid1's auc: 0.639721	valid1's online_auc: 0.663459
[8]	train's auc: 0.642132	train's online_auc: 0.666164	valid1's auc: 0.640929	valid1's online_auc: 0.664325
[9]	train's auc: 0.642549	train's online_auc: 0.66651	valid1's auc: 0.641308	valid1's online_auc: 0.664475
[10]	train's auc: 0.643243	train's online_auc: 0.667157	valid1's auc: 0.641942	valid1's online_auc: 0.665014
[11]	train's auc: 0.643928	train's online_auc: 0.668039	valid1's auc: 0.642455	valid1's online_auc: 0.665591
[12]	train's auc: 0.64501	train's online_auc: 0.669255	valid1's auc: 0.64365	valid1's online_auc: 0.667005
[13]	train's auc: 0.645329	train's online_auc: 0.669414	valid1's auc: 0.643869	valid1's online_auc: 0.66703
[14]	train's auc: 0.646162	train's online_auc: 0.670036	valid1's auc: 0.644542	valid1's online_auc: 0.667678
[15]	train's auc: 0.646822	train's online_auc: 0.670328	valid1's auc: 0.645164	valid1's online_auc: 0.667896
[16]	train's auc: 0.64748	train's online_auc: 0.670848	valid1's auc: 0.645593	valid1's online_auc: 0.668435
[17]	train's auc: 0.648029	train's online_auc: 0.671056	valid1's auc: 0.646064	valid1's online_auc: 0.668486
[18]	train's auc: 0.648675	train's online_auc: 0.671691	valid1's auc: 0.646601	valid1's online_auc: 0.668721
[19]	train's auc: 0.650507	train's online_auc: 0.673553	valid1's auc: 0.648355	valid1's online_auc: 0.670574
[20]	train's auc: 0.651832	train's online_auc: 0.674473	valid1's auc: 0.649632	valid1's online_auc: 0.671471
[21]	train's auc: 0.652871	train's online_auc: 0.675351	valid1's auc: 0.650634	valid1's online_auc: 0.672363
[22]	train's auc: 0.653862	train's online_auc: 0.676483	valid1's auc: 0.651386	valid1's online_auc: 0.673379
[23]	train's auc: 0.654693	train's online_auc: 0.677114	valid1's auc: 0.652207	valid1's online_auc: 0.674014
[24]	train's auc: 0.655727	train's online_auc: 0.677989	valid1's auc: 0.652966	valid1's online_auc: 0.674721
[25]	train's auc: 0.656486	train's online_auc: 0.678623	valid1's auc: 0.653438	valid1's online_auc: 0.675194
[26]	train's auc: 0.657341	train's online_auc: 0.679391	valid1's auc: 0.65416	valid1's online_auc: 0.675803
[27]	train's auc: 0.658181	train's online_auc: 0.680328	valid1's auc: 0.654869	valid1's online_auc: 0.676468
[28]	train's auc: 0.659218	train's online_auc: 0.681357	valid1's auc: 0.655671	valid1's online_auc: 0.677293
[29]	train's auc: 0.660157	train's online_auc: 0.682338	valid1's auc: 0.656371	valid1's online_auc: 0.677902
[30]	train's auc: 0.661001	train's online_auc: 0.683195	valid1's auc: 0.657122	valid1's online_auc: 0.678492
[31]	train's auc: 0.661875	train's online_auc: 0.68392	valid1's auc: 0.65782	valid1's online_auc: 0.678994
[32]	train's auc: 0.662851	train's online_auc: 0.684871	valid1's auc: 0.658548	valid1's online_auc: 0.679657
[33]	train's auc: 0.663617	train's online_auc: 0.68549	valid1's auc: 0.659014	valid1's online_auc: 0.679811
[34]	train's auc: 0.664314	train's online_auc: 0.686203	valid1's auc: 0.659473	valid1's online_auc: 0.68003
[35]	train's auc: 0.665011	train's online_auc: 0.686886	valid1's auc: 0.659805	valid1's online_auc: 0.680407
[36]	train's auc: 0.665896	train's online_auc: 0.687704	valid1's auc: 0.660296	valid1's online_auc: 0.680788
[37]	train's auc: 0.666579	train's online_auc: 0.688192	valid1's auc: 0.660759	valid1's online_auc: 0.681068
[38]	train's auc: 0.667152	train's online_auc: 0.688804	valid1's auc: 0.661107	valid1's online_auc: 0.681446
[39]	train's auc: 0.66787	train's online_auc: 0.689491	valid1's auc: 0.661478	valid1's online_auc: 0.681797
[40]	train's auc: 0.66849	train's online_auc: 0.6902	valid1's auc: 0.661861	valid1's online_auc: 0.682095
[41]	train's auc: 0.669053	train's online_auc: 0.6907	valid1's auc: 0.662158	valid1's online_auc: 0.682235
[42]	train's auc: 0.669667	train's online_auc: 0.691204	valid1's auc: 0.662437	valid1's online_auc: 0.682502
[43]	train's auc: 0.670049	train's online_auc: 0.691608	valid1's auc: 0.662745	valid1's online_auc: 0.68275
[44]	train's auc: 0.670577	train's online_auc: 0.69214	valid1's auc: 0.663007	valid1's online_auc: 0.682987
[45]	train's auc: 0.671106	train's online_auc: 0.69261	valid1's auc: 0.663249	valid1's online_auc: 0.683181
