feature,importance
kw2_embedding_49,189
kw2_embedding_48,159
kw2_embedding_32,147
kw2_embedding_5,140
kw2_embedding_20,138
topic2_embedding_45,133
kw2_embedding_0,129
kw2_embedding_11,127
kw2_embedding_29,122
kw2_embedding_19,116
topic2_embedding_19,115
interest2_embedding_3,109
topic2_embedding_47,106
topic2_embedding_27,106
interest2_embedding_6,106
kw2_embedding_12,106
topic2_embedding_11,106
kw2_embedding_37,104
interest2_embedding_7,102
kw2_embedding_4,101
topic2_embedding_16,100
kw2_embedding_39,99
kw2_embedding_24,97
kw2_embedding_9,96
kw2_embedding_7,92
kw2_embedding_28,90
kw2_embedding_30,88
kw2_embedding_41,87
kw2_embedding_25,82
kw2_embedding_23,82
topic2_embedding_20,80
kw2_embedding_42,80
marriageStatus_embedding_1,79
topic2_embedding_10,79
topic2_embedding_25,79
kw2_embedding_10,77
ct_embedding_0,77
topic2_embedding_49,76
kw1_embedding_43,76
kw2_embedding_14,75
kw2_embedding_36,74
kw2_embedding_40,74
kw2_embedding_15,73
kw2_embedding_16,71
interest2_embedding_9,70
topic2_embedding_2,70
kw2_embedding_26,69
kw2_embedding_1,68
kw2_embedding_46,68
topic2_embedding_23,68
kw2_embedding_47,67
topic1_embedding_33,66
topic2_embedding_24,66
interest2_embedding_0,66
topic2_embedding_37,66
topic2_embedding_13,64
kw2_embedding_13,64
kw2_embedding_6,64
interest2_embedding_5,64
kw2_embedding_38,64
kw2_embedding_34,63
topic2_embedding_26,63
topic2_embedding_42,63
interest1_embedding_2,62
interest2_embedding_1,62
interest2_embedding_11,61
topic2_embedding_12,60
topic1_embedding_38,60
kw2_embedding_33,60
topic2_embedding_6,59
topic2_embedding_14,58
topic2_embedding_31,58
kw1_embedding_11,56
topic2_embedding_39,56
topic2_embedding_1,54
kw1_embedding_39,54
topic2_embedding_30,54
topic2_embedding_32,54
ct_embedding_1,53
kw2_embedding_21,53
kw2_embedding_22,52
topic2_embedding_38,52
topic2_embedding_15,51
kw2_embedding_17,51
topic2_embedding_48,51
kw2_embedding_43,51
topic1_embedding_7,50
kw2_embedding_18,50
topic2_embedding_36,49
kw2_embedding_35,49
topic1_embedding_49,49
topic1_embedding_44,49
kw2_embedding_8,47
kw2_embedding_2,47
interest2_embedding_13,47
interest2_embedding_4,47
topic2_embedding_0,46
kw1_embedding_6,46
topic1_embedding_9,46
topic2_embedding_43,45
topic2_embedding_21,45
kw1_embedding_26,45
kw2_embedding_3,45
topic1_embedding_37,45
