[1]	train's auc: 0.619291	train's online_auc: 0.611129	valid's auc: 0.619593	valid's online_auc: 0.612418
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.653007	train's online_auc: 0.644391	valid's auc: 0.652314	valid's online_auc: 0.642947
[3]	train's auc: 0.660018	train's online_auc: 0.655279	valid's auc: 0.658464	valid's online_auc: 0.654221
[4]	train's auc: 0.664565	train's online_auc: 0.661596	valid's auc: 0.66331	valid's online_auc: 0.659845
[5]	train's auc: 0.666277	train's online_auc: 0.662703	valid's auc: 0.665016	valid's online_auc: 0.661048
[6]	train's auc: 0.668626	train's online_auc: 0.664397	valid's auc: 0.667363	valid's online_auc: 0.663098
[7]	train's auc: 0.668805	train's online_auc: 0.665027	valid's auc: 0.667419	valid's online_auc: 0.663615
[8]	train's auc: 0.668539	train's online_auc: 0.665024	valid's auc: 0.66709	valid's online_auc: 0.663588
[9]	train's auc: 0.670123	train's online_auc: 0.666662	valid's auc: 0.668613	valid's online_auc: 0.664721
[10]	train's auc: 0.671277	train's online_auc: 0.66716	valid's auc: 0.669701	valid's online_auc: 0.664841
[11]	train's auc: 0.672443	train's online_auc: 0.669467	valid's auc: 0.671143	valid's online_auc: 0.667757
[12]	train's auc: 0.673461	train's online_auc: 0.670743	valid's auc: 0.671958	valid's online_auc: 0.668913
[13]	train's auc: 0.674367	train's online_auc: 0.671924	valid's auc: 0.673125	valid's online_auc: 0.670228
[14]	train's auc: 0.675915	train's online_auc: 0.672941	valid's auc: 0.674669	valid's online_auc: 0.67143
[15]	train's auc: 0.676529	train's online_auc: 0.672923	valid's auc: 0.675161	valid's online_auc: 0.671137
[16]	train's auc: 0.677788	train's online_auc: 0.674395	valid's auc: 0.676145	valid's online_auc: 0.672878
[17]	train's auc: 0.67785	train's online_auc: 0.674645	valid's auc: 0.676107	valid's online_auc: 0.672985
[18]	train's auc: 0.67826	train's online_auc: 0.674698	valid's auc: 0.676487	valid's online_auc: 0.672979
[19]	train's auc: 0.679754	train's online_auc: 0.675861	valid's auc: 0.677882	valid's online_auc: 0.673968
[20]	train's auc: 0.680068	train's online_auc: 0.676024	valid's auc: 0.678062	valid's online_auc: 0.673569
[21]	train's auc: 0.680921	train's online_auc: 0.677019	valid's auc: 0.678856	valid's online_auc: 0.674775
[22]	train's auc: 0.681561	train's online_auc: 0.677443	valid's auc: 0.679391	valid's online_auc: 0.675016
[23]	train's auc: 0.682472	train's online_auc: 0.67905	valid's auc: 0.680172	valid's online_auc: 0.676731
[24]	train's auc: 0.682641	train's online_auc: 0.679387	valid's auc: 0.680263	valid's online_auc: 0.677063
[25]	train's auc: 0.683127	train's online_auc: 0.679918	valid's auc: 0.680577	valid's online_auc: 0.677444
[26]	train's auc: 0.68364	train's online_auc: 0.679989	valid's auc: 0.681047	valid's online_auc: 0.677403
[27]	train's auc: 0.68431	train's online_auc: 0.680831	valid's auc: 0.681506	valid's online_auc: 0.677994
[28]	train's auc: 0.685609	train's online_auc: 0.682146	valid's auc: 0.682609	valid's online_auc: 0.679265
[29]	train's auc: 0.685949	train's online_auc: 0.682362	valid's auc: 0.68281	valid's online_auc: 0.679511
[30]	train's auc: 0.686886	train's online_auc: 0.684634	valid's auc: 0.683711	valid's online_auc: 0.681605
[31]	train's auc: 0.687774	train's online_auc: 0.685766	valid's auc: 0.684586	valid's online_auc: 0.682763
[32]	train's auc: 0.689035	train's online_auc: 0.687141	valid's auc: 0.685682	valid's online_auc: 0.683844
[33]	train's auc: 0.689822	train's online_auc: 0.687909	valid's auc: 0.686521	valid's online_auc: 0.684689
[34]	train's auc: 0.691566	train's online_auc: 0.68982	valid's auc: 0.688012	valid's online_auc: 0.686322
[35]	train's auc: 0.693473	train's online_auc: 0.691951	valid's auc: 0.689895	valid's online_auc: 0.68857
[36]	train's auc: 0.693899	train's online_auc: 0.692126	valid's auc: 0.690191	valid's online_auc: 0.688734
[37]	train's auc: 0.69558	train's online_auc: 0.69363	valid's auc: 0.69181	valid's online_auc: 0.690039
[38]	train's auc: 0.696942	train's online_auc: 0.695099	valid's auc: 0.693005	valid's online_auc: 0.691321
[39]	train's auc: 0.699158	train's online_auc: 0.697156	valid's auc: 0.695192	valid's online_auc: 0.693424
[40]	train's auc: 0.700326	train's online_auc: 0.698345	valid's auc: 0.696094	valid's online_auc: 0.694162
[41]	train's auc: 0.701307	train's online_auc: 0.698982	valid's auc: 0.696921	valid's online_auc: 0.69444
[42]	train's auc: 0.702304	train's online_auc: 0.700143	valid's auc: 0.697756	valid's online_auc: 0.695402
[43]	train's auc: 0.703154	train's online_auc: 0.701134	valid's auc: 0.698482	valid's online_auc: 0.696053
[44]	train's auc: 0.704486	train's online_auc: 0.701991	valid's auc: 0.69973	valid's online_auc: 0.696957
[45]	train's auc: 0.705516	train's online_auc: 0.702944	valid's auc: 0.70056	valid's online_auc: 0.697774
[46]	train's auc: 0.706296	train's online_auc: 0.703704	valid's auc: 0.701186	valid's online_auc: 0.69854
[47]	train's auc: 0.707227	train's online_auc: 0.704675	valid's auc: 0.70201	valid's online_auc: 0.69944
[48]	train's auc: 0.70784	train's online_auc: 0.704972	valid's auc: 0.702535	valid's online_auc: 0.699639
[49]	train's auc: 0.708376	train's online_auc: 0.70577	valid's auc: 0.703017	valid's online_auc: 0.700182
[50]	train's auc: 0.709494	train's online_auc: 0.706684	valid's auc: 0.70397	valid's online_auc: 0.700937
[51]	train's auc: 0.710102	train's online_auc: 0.707188	valid's auc: 0.704459	valid's online_auc: 0.701344
[52]	train's auc: 0.710682	train's online_auc: 0.707627	valid's auc: 0.704828	valid's online_auc: 0.701599
[53]	train's auc: 0.711094	train's online_auc: 0.708051	valid's auc: 0.705086	valid's online_auc: 0.701728
[54]	train's auc: 0.71171	train's online_auc: 0.708634	valid's auc: 0.705573	valid's online_auc: 0.702092
[55]	train's auc: 0.712321	train's online_auc: 0.708997	valid's auc: 0.706172	valid's online_auc: 0.702416
[56]	train's auc: 0.712553	train's online_auc: 0.709261	valid's auc: 0.706388	valid's online_auc: 0.702591
[57]	train's auc: 0.713052	train's online_auc: 0.709865	valid's auc: 0.70672	valid's online_auc: 0.703007
[58]	train's auc: 0.713663	train's online_auc: 0.71036	valid's auc: 0.707191	valid's online_auc: 0.703358
[59]	train's auc: 0.713984	train's online_auc: 0.710535	valid's auc: 0.70744	valid's online_auc: 0.703505
[60]	train's auc: 0.714344	train's online_auc: 0.710882	valid's auc: 0.707707	valid's online_auc: 0.703818
[61]	train's auc: 0.714623	train's online_auc: 0.711154	valid's auc: 0.707902	valid's online_auc: 0.704069
[62]	train's auc: 0.714933	train's online_auc: 0.711575	valid's auc: 0.708129	valid's online_auc: 0.704355
[63]	train's auc: 0.715717	train's online_auc: 0.712638	valid's auc: 0.70878	valid's online_auc: 0.705134
[64]	train's auc: 0.716117	train's online_auc: 0.712997	valid's auc: 0.709012	valid's online_auc: 0.70534
[65]	train's auc: 0.716463	train's online_auc: 0.713156	valid's auc: 0.709278	valid's online_auc: 0.705481
[66]	train's auc: 0.717055	train's online_auc: 0.713706	valid's auc: 0.709741	valid's online_auc: 0.705812
[67]	train's auc: 0.717407	train's online_auc: 0.714051	valid's auc: 0.71004	valid's online_auc: 0.706155
[68]	train's auc: 0.717635	train's online_auc: 0.714321	valid's auc: 0.710216	valid's online_auc: 0.706327
[69]	train's auc: 0.717899	train's online_auc: 0.714593	valid's auc: 0.710371	valid's online_auc: 0.706461
[70]	train's auc: 0.718204	train's online_auc: 0.714749	valid's auc: 0.71058	valid's online_auc: 0.706582
[71]	train's auc: 0.719026	train's online_auc: 0.71572	valid's auc: 0.711176	valid's online_auc: 0.707084
[72]	train's auc: 0.719235	train's online_auc: 0.715828	valid's auc: 0.711284	valid's online_auc: 0.707191
[73]	train's auc: 0.719739	train's online_auc: 0.716157	valid's auc: 0.711647	valid's online_auc: 0.707484
[74]	train's auc: 0.719944	train's online_auc: 0.716394	valid's auc: 0.711779	valid's online_auc: 0.707676
[75]	train's auc: 0.720402	train's online_auc: 0.716899	valid's auc: 0.71207	valid's online_auc: 0.707893
[76]	train's auc: 0.72054	train's online_auc: 0.716979	valid's auc: 0.712213	valid's online_auc: 0.707984
[77]	train's auc: 0.721048	train's online_auc: 0.717429	valid's auc: 0.712606	valid's online_auc: 0.708237
[78]	train's auc: 0.721216	train's online_auc: 0.717662	valid's auc: 0.712727	valid's online_auc: 0.708378
[79]	train's auc: 0.721518	train's online_auc: 0.718059	valid's auc: 0.712961	valid's online_auc: 0.708655
[80]	train's auc: 0.721618	train's online_auc: 0.718149	valid's auc: 0.713014	valid's online_auc: 0.708738
[81]	train's auc: 0.721853	train's online_auc: 0.718298	valid's auc: 0.713209	valid's online_auc: 0.708792
[82]	train's auc: 0.72208	train's online_auc: 0.71855	valid's auc: 0.713435	valid's online_auc: 0.709085
[83]	train's auc: 0.722284	train's online_auc: 0.718705	valid's auc: 0.713599	valid's online_auc: 0.70919
[84]	train's auc: 0.722438	train's online_auc: 0.718873	valid's auc: 0.713664	valid's online_auc: 0.709258
[85]	train's auc: 0.722715	train's online_auc: 0.719102	valid's auc: 0.713817	valid's online_auc: 0.709329
[86]	train's auc: 0.722989	train's online_auc: 0.719281	valid's auc: 0.714004	valid's online_auc: 0.70937
[87]	train's auc: 0.72368	train's online_auc: 0.719762	valid's auc: 0.714574	valid's online_auc: 0.709707
[88]	train's auc: 0.723878	train's online_auc: 0.719967	valid's auc: 0.714681	valid's online_auc: 0.7098
[89]	train's auc: 0.723972	train's online_auc: 0.720064	valid's auc: 0.714754	valid's online_auc: 0.709878
[90]	train's auc: 0.724153	train's online_auc: 0.72028	valid's auc: 0.714943	valid's online_auc: 0.710032
[91]	train's auc: 0.724555	train's online_auc: 0.720686	valid's auc: 0.715276	valid's online_auc: 0.71028
[92]	train's auc: 0.724677	train's online_auc: 0.720794	valid's auc: 0.715377	valid's online_auc: 0.710325
[93]	train's auc: 0.724878	train's online_auc: 0.721059	valid's auc: 0.715434	valid's online_auc: 0.710367
[94]	train's auc: 0.725051	train's online_auc: 0.721228	valid's auc: 0.715529	valid's online_auc: 0.71045
[95]	train's auc: 0.725086	train's online_auc: 0.72128	valid's auc: 0.715535	valid's online_auc: 0.710477
[96]	train's auc: 0.725285	train's online_auc: 0.721404	valid's auc: 0.715672	valid's online_auc: 0.71054
[97]	train's auc: 0.725428	train's online_auc: 0.721492	valid's auc: 0.715759	valid's online_auc: 0.710543
[98]	train's auc: 0.725547	train's online_auc: 0.721584	valid's auc: 0.715853	valid's online_auc: 0.710591
[99]	train's auc: 0.725727	train's online_auc: 0.721709	valid's auc: 0.715917	valid's online_auc: 0.710618
[100]	train's auc: 0.725977	train's online_auc: 0.722005	valid's auc: 0.716051	valid's online_auc: 0.710727
[101]	train's auc: 0.726117	train's online_auc: 0.722166	valid's auc: 0.716114	valid's online_auc: 0.710851
[102]	train's auc: 0.726259	train's online_auc: 0.722283	valid's auc: 0.71623	valid's online_auc: 0.710982
[103]	train's auc: 0.726369	train's online_auc: 0.722445	valid's auc: 0.716285	valid's online_auc: 0.711025
[104]	train's auc: 0.726611	train's online_auc: 0.722526	valid's auc: 0.716472	valid's online_auc: 0.711092
[105]	train's auc: 0.726776	train's online_auc: 0.72271	valid's auc: 0.716639	valid's online_auc: 0.711287
[106]	train's auc: 0.726977	train's online_auc: 0.723016	valid's auc: 0.716716	valid's online_auc: 0.711332
[107]	train's auc: 0.727144	train's online_auc: 0.723159	valid's auc: 0.716881	valid's online_auc: 0.711419
[108]	train's auc: 0.727215	train's online_auc: 0.723263	valid's auc: 0.716923	valid's online_auc: 0.711462
[109]	train's auc: 0.727497	train's online_auc: 0.723513	valid's auc: 0.717135	valid's online_auc: 0.711592
[110]	train's auc: 0.72765	train's online_auc: 0.723717	valid's auc: 0.717193	valid's online_auc: 0.711669
[111]	train's auc: 0.728197	train's online_auc: 0.724148	valid's auc: 0.717651	valid's online_auc: 0.712082
[112]	train's auc: 0.728267	train's online_auc: 0.724223	valid's auc: 0.717702	valid's online_auc: 0.712102
[113]	train's auc: 0.728406	train's online_auc: 0.724327	valid's auc: 0.71779	valid's online_auc: 0.712132
[114]	train's auc: 0.728852	train's online_auc: 0.724842	valid's auc: 0.71809	valid's online_auc: 0.712484
[115]	train's auc: 0.72897	train's online_auc: 0.724923	valid's auc: 0.718138	valid's online_auc: 0.712479
[116]	train's auc: 0.729105	train's online_auc: 0.725093	valid's auc: 0.71817	valid's online_auc: 0.712539
[117]	train's auc: 0.729259	train's online_auc: 0.725216	valid's auc: 0.718244	valid's online_auc: 0.712642
[118]	train's auc: 0.729391	train's online_auc: 0.725359	valid's auc: 0.718296	valid's online_auc: 0.712646
[119]	train's auc: 0.729522	train's online_auc: 0.725485	valid's auc: 0.718381	valid's online_auc: 0.712687
[120]	train's auc: 0.729797	train's online_auc: 0.725685	valid's auc: 0.718524	valid's online_auc: 0.712797
[121]	train's auc: 0.729913	train's online_auc: 0.725764	valid's auc: 0.718588	valid's online_auc: 0.712822
[122]	train's auc: 0.730107	train's online_auc: 0.726013	valid's auc: 0.718747	valid's online_auc: 0.713027
[123]	train's auc: 0.730422	train's online_auc: 0.726274	valid's auc: 0.719014	valid's online_auc: 0.713141
[124]	train's auc: 0.730703	train's online_auc: 0.727251	valid's auc: 0.719156	valid's online_auc: 0.713511
[125]	train's auc: 0.730793	train's online_auc: 0.727307	valid's auc: 0.719202	valid's online_auc: 0.713522
[126]	train's auc: 0.7309	train's online_auc: 0.727449	valid's auc: 0.719276	valid's online_auc: 0.713576
[127]	train's auc: 0.730993	train's online_auc: 0.727534	valid's auc: 0.719332	valid's online_auc: 0.713597
[128]	train's auc: 0.731285	train's online_auc: 0.72773	valid's auc: 0.719541	valid's online_auc: 0.713695
[129]	train's auc: 0.731614	train's online_auc: 0.727995	valid's auc: 0.719861	valid's online_auc: 0.713965
[130]	train's auc: 0.731935	train's online_auc: 0.728381	valid's auc: 0.720065	valid's online_auc: 0.714256
[131]	train's auc: 0.73212	train's online_auc: 0.728714	valid's auc: 0.720217	valid's online_auc: 0.714536
[132]	train's auc: 0.732263	train's online_auc: 0.728831	valid's auc: 0.720317	valid's online_auc: 0.714607
[133]	train's auc: 0.732353	train's online_auc: 0.728913	valid's auc: 0.720376	valid's online_auc: 0.71466
[134]	train's auc: 0.732432	train's online_auc: 0.728959	valid's auc: 0.720415	valid's online_auc: 0.714657
[135]	train's auc: 0.732716	train's online_auc: 0.729367	valid's auc: 0.720617	valid's online_auc: 0.714816
[136]	train's auc: 0.73287	train's online_auc: 0.729497	valid's auc: 0.720683	valid's online_auc: 0.714888
[137]	train's auc: 0.733012	train's online_auc: 0.72965	valid's auc: 0.720753	valid's online_auc: 0.714998
[138]	train's auc: 0.733326	train's online_auc: 0.7298	valid's auc: 0.721035	valid's online_auc: 0.715115
[139]	train's auc: 0.733409	train's online_auc: 0.729861	valid's auc: 0.721064	valid's online_auc: 0.715135
[140]	train's auc: 0.733495	train's online_auc: 0.729982	valid's auc: 0.721127	valid's online_auc: 0.715203
[141]	train's auc: 0.733554	train's online_auc: 0.73006	valid's auc: 0.721177	valid's online_auc: 0.715265
[142]	train's auc: 0.733657	train's online_auc: 0.730212	valid's auc: 0.72124	valid's online_auc: 0.715319
[143]	train's auc: 0.733706	train's online_auc: 0.73028	valid's auc: 0.721268	valid's online_auc: 0.715345
[144]	train's auc: 0.733837	train's online_auc: 0.730524	valid's auc: 0.721338	valid's online_auc: 0.7154
[145]	train's auc: 0.733942	train's online_auc: 0.730676	valid's auc: 0.721387	valid's online_auc: 0.715378
[146]	train's auc: 0.734048	train's online_auc: 0.730829	valid's auc: 0.721424	valid's online_auc: 0.715424
[147]	train's auc: 0.734272	train's online_auc: 0.731258	valid's auc: 0.721533	valid's online_auc: 0.715587
[148]	train's auc: 0.73448	train's online_auc: 0.731449	valid's auc: 0.721678	valid's online_auc: 0.715705
[149]	train's auc: 0.7346	train's online_auc: 0.7316	valid's auc: 0.721742	valid's online_auc: 0.71576
[150]	train's auc: 0.734818	train's online_auc: 0.731792	valid's auc: 0.721957	valid's online_auc: 0.715925
[151]	train's auc: 0.734954	train's online_auc: 0.732037	valid's auc: 0.722067	valid's online_auc: 0.716096
[152]	train's auc: 0.735049	train's online_auc: 0.732096	valid's auc: 0.722139	valid's online_auc: 0.716123
[153]	train's auc: 0.735164	train's online_auc: 0.73221	valid's auc: 0.722207	valid's online_auc: 0.716143
[154]	train's auc: 0.73531	train's online_auc: 0.732425	valid's auc: 0.722244	valid's online_auc: 0.716173
[155]	train's auc: 0.73552	train's online_auc: 0.732639	valid's auc: 0.722331	valid's online_auc: 0.716269
[156]	train's auc: 0.735644	train's online_auc: 0.732776	valid's auc: 0.722399	valid's online_auc: 0.716272
[157]	train's auc: 0.735732	train's online_auc: 0.732893	valid's auc: 0.722444	valid's online_auc: 0.716308
[158]	train's auc: 0.735846	train's online_auc: 0.733038	valid's auc: 0.72249	valid's online_auc: 0.716328
[159]	train's auc: 0.736047	train's online_auc: 0.733325	valid's auc: 0.722572	valid's online_auc: 0.716468
[160]	train's auc: 0.736144	train's online_auc: 0.733457	valid's auc: 0.722608	valid's online_auc: 0.716525
[161]	train's auc: 0.73622	train's online_auc: 0.73349	valid's auc: 0.722645	valid's online_auc: 0.716538
[162]	train's auc: 0.736298	train's online_auc: 0.733565	valid's auc: 0.722672	valid's online_auc: 0.716548
[163]	train's auc: 0.736577	train's online_auc: 0.733903	valid's auc: 0.722825	valid's online_auc: 0.716634
[164]	train's auc: 0.736673	train's online_auc: 0.734008	valid's auc: 0.722878	valid's online_auc: 0.716686
[165]	train's auc: 0.736783	train's online_auc: 0.734345	valid's auc: 0.722923	valid's online_auc: 0.716728
[166]	train's auc: 0.737107	train's online_auc: 0.73477	valid's auc: 0.723062	valid's online_auc: 0.716845
[167]	train's auc: 0.737191	train's online_auc: 0.734855	valid's auc: 0.723079	valid's online_auc: 0.716877
[168]	train's auc: 0.737642	train's online_auc: 0.735273	valid's auc: 0.723446	valid's online_auc: 0.717299
[169]	train's auc: 0.737699	train's online_auc: 0.735335	valid's auc: 0.723471	valid's online_auc: 0.717297
[170]	train's auc: 0.737791	train's online_auc: 0.735386	valid's auc: 0.723505	valid's online_auc: 0.717337
[171]	train's auc: 0.738012	train's online_auc: 0.735615	valid's auc: 0.72364	valid's online_auc: 0.717497
[172]	train's auc: 0.738247	train's online_auc: 0.73586	valid's auc: 0.723812	valid's online_auc: 0.717684
[173]	train's auc: 0.738327	train's online_auc: 0.73601	valid's auc: 0.723841	valid's online_auc: 0.717754
[174]	train's auc: 0.738585	train's online_auc: 0.736423	valid's auc: 0.724008	valid's online_auc: 0.717995
[175]	train's auc: 0.738667	train's online_auc: 0.736514	valid's auc: 0.724039	valid's online_auc: 0.71802
[176]	train's auc: 0.738851	train's online_auc: 0.736754	valid's auc: 0.724112	valid's online_auc: 0.71811
[177]	train's auc: 0.738984	train's online_auc: 0.736934	valid's auc: 0.724173	valid's online_auc: 0.718237
[178]	train's auc: 0.739236	train's online_auc: 0.737204	valid's auc: 0.72436	valid's online_auc: 0.71842
[179]	train's auc: 0.739332	train's online_auc: 0.737325	valid's auc: 0.7244	valid's online_auc: 0.718456
[180]	train's auc: 0.7394	train's online_auc: 0.737369	valid's auc: 0.724436	valid's online_auc: 0.718477
[181]	train's auc: 0.73947	train's online_auc: 0.737438	valid's auc: 0.724474	valid's online_auc: 0.718505
[182]	train's auc: 0.739581	train's online_auc: 0.737554	valid's auc: 0.724491	valid's online_auc: 0.718534
[183]	train's auc: 0.739694	train's online_auc: 0.737661	valid's auc: 0.724567	valid's online_auc: 0.718647
[184]	train's auc: 0.739746	train's online_auc: 0.737694	valid's auc: 0.724605	valid's online_auc: 0.718658
