aid,auc
1672,0.9571775261067804
2054,0.9458433029023028
519,0.9386023804055287
1930,0.9286101756700459
613,0.9244329719800719
1957,0.9166212719596895
450,0.9159627463721032
725,0.9151010221457204
1375,0.9141093653267298
671,0.9098743419935473
336,0.9039581559965951
1021,0.9034361035581706
1171,0.903361497163033
1966,0.8935507390468616
164,0.8935191137925919
313,0.8851093985295421
1940,0.8781376580537933
1429,0.8758974358974358
1057,0.8731538787136924
916,0.8674861373073837
1622,0.8670134176188243
2205,0.8660785514183411
765,0.8650861447597352
1377,0.8634720836544727
1027,0.8632125856263788
70,0.8620756201018908
1449,0.8586250641382807
1842,0.8572225320691579
12,0.8536754449805903
1894,0.8519216387817646
1107,0.8497469403193416
846,0.8469627533774468
205,0.8467257171935626
1507,0.846594740391099
1483,0.8388407791423114
121,0.836536031107387
1847,0.835890858908589
1284,0.8326109931450402
1379,0.8320557283884837
1596,0.8313882407919649
1950,0.828388009570181
2031,0.8260182433163734
1621,0.826014435686392
727,0.82183004355923
1819,0.8187366254029309
7,0.8165851862854633
927,0.8146020646020646
1827,0.8139009626331044
686,0.8087044891637654
1254,0.8055882060240026
903,0.8039990023279016
1201,0.8010297427325627
2201,0.7975542879056613
1716,0.7917214861532478
1291,0.782983349195794
1970,0.7829018658987339
311,0.782795945937402
1512,0.7826107926614355
792,0.7818022371350231
1790,0.7769643954637683
1503,0.7768065185770974
2050,0.7762575681415348
2068,0.7752376237623761
173,0.7726227353125322
1140,0.7721239964558829
932,0.7683610729744892
1338,0.7665729136666775
2013,0.7660647409989246
272,0.7645523289300113
191,0.7631577051814606
98,0.7583370923853731
1023,0.7574891175025769
145,0.7514062698566641
688,0.751063829787234
2044,0.7488963791674634
1508,0.7462509000970539
174,0.7449534124880938
1277,0.7430699356508228
681,0.7420783991031925
286,0.7400607825985012
1351,0.7376655458725039
886,0.7375011681151293
2169,0.7357211605272503
1910,0.7320489171278267
1605,0.7262513673643927
411,0.7247429508067904
2118,0.7187348201070621
966,0.7184488282970599
231,0.7174374122866585
389,0.717297370689653
1841,0.7166660105299582
1635,0.7148141245286806
1468,0.7113111661977986
454,0.7072159777355885
1749,0.6997581173742905
1991,0.6970478006017221
1017,0.6931262911389982
660,0.6893006674128426
2197,0.6886897481340957
2066,0.6880340681924709
561,0.6849353622526346
1671,0.6818819645068098
302,0.681496691214909
1530,0.6795480869296338
1242,0.6778016120644825
1871,0.6775714743811423
838,0.6774617974617975
2112,0.6773340627279358
74,0.6760492312315322
6,0.6758130081300813
1335,0.6757150423728814
432,0.6749735253162334
1781,0.6709481019179927
1085,0.6689748388438346
471,0.6599769566033407
1918,0.6594432619209045
177,0.6582221957608954
404,0.6576450932881782
117,0.6566547071731259
1407,0.6561559410789868
647,0.6534054897372144
1230,0.6529082896270395
1566,0.6527135018120203
1317,0.6488481243639682
692,0.6478536632143062
975,0.6466737398135398
1119,0.6417654598725644
516,0.6414597679364878
1599,0.6409147511190388
436,0.6380772209974378
18,0.6372827210373015
136,0.6371375144720888
86,0.6355339105339106
1350,0.6353955355200981
2048,0.6348811920511661
1182,0.6331191570190052
1998,0.6327750913465402
1415,0.6316785653282828
914,0.6290110999298095
951,0.6287319985950123
977,0.628590559390279
1580,0.6275622437756224
212,0.6268564750630359
748,0.625726558821649
529,0.6256281671187367
2047,0.6256172680743808
2196,0.6143892339544513
960,0.6133540546281906
2154,0.6132508905440415
1496,0.6123359959696385
894,0.6102800846146346
853,0.6094696554768851
1931,0.6088496344465953
420,0.6074669811320754
1044,0.6071164177585425
1746,0.6058614690115678
543,0.6056752362464947
1728,0.6045069467296995
369,0.6021325365434322
1904,0.6010551895312722
699,0.6005474898747465
1962,0.6004762386135166
1714,0.5993313125624797
1202,0.5933547313793985
624,0.5853785432883103
939,0.5850608983727954
875,0.5833003012525765
1925,0.5808170717790712
206,0.5788711195338284
1215,0.5779078683096299
2216,0.5611613361968888
562,0.5572456851984411
113,0.5277920227920228
