[1]	train's auc: 0.592706	train's online_auc: 0.590354	valid's auc: 0.592897	valid's online_auc: 0.589816
Training until validation scores don't improve for 50 rounds.
[2]	train's auc: 0.64202	train's online_auc: 0.632065	valid's auc: 0.641023	valid's online_auc: 0.631593
[3]	train's auc: 0.648424	train's online_auc: 0.641378	valid's auc: 0.646868	valid's online_auc: 0.641788
[4]	train's auc: 0.656355	train's online_auc: 0.652782	valid's auc: 0.654943	valid's online_auc: 0.651528
[5]	train's auc: 0.657541	train's online_auc: 0.653472	valid's auc: 0.656073	valid's online_auc: 0.652396
[6]	train's auc: 0.658044	train's online_auc: 0.653308	valid's auc: 0.656664	valid's online_auc: 0.652734
[7]	train's auc: 0.661244	train's online_auc: 0.656072	valid's auc: 0.66008	valid's online_auc: 0.655517
[8]	train's auc: 0.667616	train's online_auc: 0.664945	valid's auc: 0.666186	valid's online_auc: 0.664912
[9]	train's auc: 0.672865	train's online_auc: 0.668927	valid's auc: 0.672161	valid's online_auc: 0.668934
[10]	train's auc: 0.67314	train's online_auc: 0.669546	valid's auc: 0.672255	valid's online_auc: 0.669665
[11]	train's auc: 0.67569	train's online_auc: 0.673534	valid's auc: 0.674831	valid's online_auc: 0.673231
[12]	train's auc: 0.67675	train's online_auc: 0.673852	valid's auc: 0.675542	valid's online_auc: 0.67341
[13]	train's auc: 0.68188	train's online_auc: 0.677349	valid's auc: 0.680592	valid's online_auc: 0.676202
[14]	train's auc: 0.684126	train's online_auc: 0.680383	valid's auc: 0.682694	valid's online_auc: 0.678952
[15]	train's auc: 0.684824	train's online_auc: 0.681311	valid's auc: 0.683378	valid's online_auc: 0.679806
[16]	train's auc: 0.68749	train's online_auc: 0.684159	valid's auc: 0.685897	valid's online_auc: 0.683097
[17]	train's auc: 0.688871	train's online_auc: 0.685423	valid's auc: 0.686991	valid's online_auc: 0.683907
[18]	train's auc: 0.691004	train's online_auc: 0.687539	valid's auc: 0.689126	valid's online_auc: 0.686014
