aid,auc
1672,0.9588799823503458
2054,0.9404600081755006
519,0.9345000775408364
1930,0.9257937265657548
613,0.921234973592286
1957,0.9156188055139437
1375,0.9140115207537234
725,0.9127060993110466
450,0.911237856873551
1021,0.9027177668843207
1171,0.8973134176553067
164,0.8962860392661096
671,0.8942944472745797
1966,0.8910462176519047
336,0.8769432373101564
1940,0.8766411708191748
313,0.8758858180529719
1057,0.8708773294590049
1429,0.8692937471884841
916,0.8634621484877345
1622,0.8629917106613402
1377,0.8585096686750543
70,0.856621082925486
1842,0.8557712490029925
2205,0.8545357847411613
1027,0.8502438174851968
12,0.8501098487471831
765,0.8489901130850686
1449,0.8485549606041433
205,0.8461929902677947
1507,0.8418315375676102
1847,0.8402559025590256
1107,0.8396144217000928
846,0.8371703289970439
1483,0.8350378457180709
1894,0.8342742349370208
121,0.8340642161173937
1379,0.8272379195282769
1596,0.8247023431137745
1621,0.8241118242999946
1950,0.8236611233807181
2031,0.8229002815598515
1284,0.8219727159021496
727,0.8184112197775582
1819,0.8174634992009101
1827,0.8089210775019287
7,0.8072473408549306
686,0.8005588877055085
1254,0.7989087657608482
903,0.7987404389757233
1201,0.794567537788796
2201,0.7925708259431474
927,0.791037666037666
1716,0.7849473576920796
1970,0.7828833108198376
1512,0.7808985845994028
1291,0.7774722759284524
932,0.774695426494132
1140,0.773921362981445
2068,0.771940594059406
1790,0.7715193177130252
1503,0.7690042788753477
2050,0.7684247023148626
311,0.7660278363790788
173,0.7657329026031013
792,0.763801034189391
191,0.7634771840514987
98,0.7621698703490826
1338,0.7613557494247775
272,0.7594151199301413
2013,0.7579802392437593
1508,0.7533577533577535
1023,0.7513741903791056
681,0.7507614515878979
145,0.7478769394038709
174,0.7426157850561595
286,0.7422947685481616
1351,0.7377890619639059
2044,0.7350911582839293
688,0.72830498277088
1277,0.7272172891682862
1605,0.7257593135967841
411,0.7192508244944812
2169,0.7169246130803794
231,0.7163973018244375
389,0.7159289059450733
1910,0.7149347543895607
2118,0.7119799375471357
966,0.7114305539457644
886,0.7098460424259415
1468,0.7069402183188878
1635,0.7046207222835515
454,0.701293903175699
1841,0.6946695453801414
1017,0.6917027917680643
2197,0.690804023863608
1749,0.6895264085109409
1991,0.6877626050420169
2112,0.6871121092300408
2066,0.685818674208888
1242,0.6835348413936557
1671,0.6826764341725134
561,0.6781531800927473
74,0.6773061488956779
1871,0.6733902152248135
302,0.6732748838643323
432,0.6700273486408688
1335,0.6688105326876512
838,0.6677233877233878
660,0.6674819328718098
6,0.6654097133076593
1530,0.6634801458197263
1085,0.6601164483260554
1230,0.6583624708624709
1407,0.6579811633617572
1781,0.6576002563755193
1918,0.6554858977409252
404,0.6545051345139752
471,0.6534888328154652
117,0.6527845044909009
647,0.649440137812231
1566,0.6494137315556842
177,0.6471941371322177
977,0.6419102315214265
1119,0.6398685943004248
692,0.6396963698955669
516,0.6386379430159833
1317,0.6379259220268799
975,0.6344274137113705
1998,0.6343680426551709
1182,0.6337240149834991
1599,0.632910398366596
1415,0.6321651760603958
136,0.6313803924208921
2048,0.6304367476067217
748,0.6297141893894919
436,0.6285914318059942
914,0.6244494380879666
1580,0.6241792487417925
529,0.6203951933388001
1350,0.6185736599640153
86,0.6124779541446208
894,0.6119147240486152
1728,0.6099537687312888
420,0.6098525943396226
1931,0.6063581859529761
1496,0.6053733889869585
2047,0.6049323577068492
951,0.6032998224779047
212,0.6027774592684477
18,0.6024852015409189
543,0.6023589205506527
853,0.5991246676425775
699,0.5977383410211109
2154,0.5967049870466321
960,0.5934846115635686
369,0.5932944067291763
1714,0.5931232531639111
1044,0.5919698959698935
1904,0.5903833408803976
1746,0.5882276873883194
939,0.58708369872357
2196,0.586152395740905
875,0.5809120818138576
624,0.5784791210824028
562,0.5774715660542432
206,0.575863274804043
1202,0.5719179119578243
1215,0.5691946110628596
2216,0.5566229394009751
1925,0.5555517516832136
1962,0.5532134072080832
113,0.5398290598290598
