model,feature,regularization,C,auc_mean,auc_std,featureDiscarded_mean,featureDiscarded_std,time_mean,time_std,solver
LR,age,l2,1e-06,0.4796912957226316,0.0007121865183174805,,,5.256184657414754,0.07324104665830018,liblinear
LR,age,l2,0.001,0.43625432637313244,0.0010593162287450832,,,7.334254662195842,0.02274957331381675,liblinear
LR,age,l2,1.0,0.4362202661774553,0.0010494875834031593,,,7.300178448359172,0.012872933968792003,liblinear
LR,age,l2,1000.0,0.4362202661774553,0.0010494875834031593,,,7.446656306584676,0.033833317303104155,liblinear
LR,age,l2,1000000.0,0.4362202661774553,0.0010494875834031593,,,7.457616249720256,0.061558187799801496,liblinear
LR,age,l1,1e-06,0.5,0.0,6.0,0.0,3.5546083450317383,0.246143824222401,liblinear
LR,age,l1,0.001,0.4362230610893966,0.0010470090128204973,2.0,0.0,20.775235335032146,1.8816450996942784,liblinear
LR,age,l1,1.0,0.4362202661774553,0.0010494875834031593,0.0,0.0,5.716281970342,0.1917283572400362,liblinear
LR,age,l1,1000.0,0.4362202661774553,0.0010494875834031593,0.0,0.0,5.819247484207153,0.31145915354412296,liblinear
LR,age,l1,1000000.0,0.4362202661774553,0.0010494875834031593,0.0,0.0,5.851306041081746,0.3400345567283762,liblinear
LR,gender,l2,1e-06,0.5113129484378055,0.0001576869895419576,,,5.9949212074279785,0.049675950354180626,liblinear
LR,gender,l2,0.001,0.4885469175198656,0.00010576114334597693,,,7.650335629781087,0.013361045563203831,liblinear
LR,gender,l2,1.0,0.4885469175198656,0.00010576114334597693,,,8.529829661051432,0.029778924685163126,liblinear
LR,gender,l2,1000.0,0.4885469175198656,0.00010576114334597693,,,8.542343934377035,0.02294944052617118,liblinear
LR,gender,l2,1000000.0,0.4885469175198656,0.00010576114334597693,,,8.6397492090861,0.10366004439924834,liblinear
LR,gender,l1,1e-06,0.5,0.0,3.0,0.0,4.748970031738281,0.3913677293260567,liblinear
LR,gender,l1,0.001,0.48855999091810687,0.00012310096245959817,2.0,0.0,26.600194692611694,4.005773672283863,liblinear
LR,gender,l1,1.0,0.4885469175198656,0.00010576114334597693,0.0,0.0,5.407603104909261,0.23958893658175903,liblinear
LR,gender,l1,1000.0,0.4885469175198656,0.00010576114334597693,0.0,0.0,5.306203126907349,0.169116176274675,liblinear
LR,gender,l1,1000000.0,0.4885469175198656,0.00010576114334597693,0.0,0.0,5.75622296333313,0.22942310846414182,liblinear
LR,education,l2,1e-06,0.48469214764335966,0.00101017935340259,,,5.805551449457805,0.14023554362921647,liblinear
LR,education,l2,0.001,0.46094238271413146,0.0009338889713660244,,,8.462988058725992,0.09239422470665845,liblinear
LR,education,l2,1.0,0.46078918614203235,0.0008729598537002443,,,9.723132769266764,0.03229407319539915,liblinear
LR,education,l2,1000.0,0.46078918614203235,0.0008729598537002443,,,9.79475180308024,0.28964537067066454,liblinear
LR,education,l2,1000000.0,0.46078918614203235,0.0008729598537002443,,,9.837700366973877,0.136282116082159,liblinear
